2021,2019,2015,2013,2010,2009,2008,2007,2005,2004
"(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project must be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project must be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project must be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project must be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project shall be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project located in Colorado:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project shall be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project located in Colorado:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project shall be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project located in Colorado:","(VI) Each kilowatt-hour of electricity generated from eligible energy resources at a community-based project shall be counted as one and one-half kilowatt-hours. For purposes of this subparagraph (VI), “community-based project” means a project located in Colorado:",,
"(A) That is owned by individual residents of a community, by an organization or cooperative that is controlled by individual residents of the community, or by a local government entity or tribal council;","(A) That is owned by individual residents of a community, by an organization or cooperative that is controlled by individual residents of the community, or by a local government entity or tribal council;","(A) That is owned by individual residents of a community, by an organization or cooperative that is controlled by individual residents of the community, or by a local government entity or tribal council;","(A) That is owned by individual residents of a community, by an organization or cooperative that is controlled by individual residents of the community, or by a local government entity or tribal council;","(A) That is owned by individual residents of a community, by an organization or cooperative that is controlled by individual residents of the community, or by a local government entity or tribal council;","(A) That is owned by individual residents of a community, nonprofit organization cooperative local government entity or tribal council;","(A) That is owned by individual residents of a community, nonprofit organization cooperative local government entity or tribal council;","(A) That is owned by individual residents of a community, nonprofit organization cooperative local government entity or tribal council;",,
(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,(B) The generating capacity of which does not exceed thirty megawatts; and,,
(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,(C) For which there is a resolution of support adopted by the local governing body of each local jurisdiction in which the project is to be located.,,
(VII),(VII),(VII),(VII),(VII),(VII),(VII),(VII),,
"(A) For purposes of compliance with the standards set forth in subparagraphs (V) and (V.5) of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraphs (V) and (V.5) of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraphs (V) and (V.5) of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraphs (V) and (V.5) of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraph of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraph of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraph of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.","(A) For purposes of compliance with the standards set forth in subparagraph of this paragraph (c), each kilowatt-hour of renewable electricity generated from solar electric generation technologies shall be counted as three kilowatt-hours.",,
"(B) For each qualifying retail utility that is a cooperative electric association, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015, and for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) For each qualifying retail utility that is a cooperative electric association, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015, and for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) For each qualifying retail utility that is a cooperative electric association, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015, and for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) Sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015 for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) Sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015 for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) Sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015 for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) Sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015 for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(B) Sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that begin producing electricity prior to July 1, 2015 for solar electric technologies that begin producing electricity on or after July 1, 2015, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.",,
"(C) For each qualifying retail utility that is a municipally owned utility, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that are under contract for development prior to August 1, 2015, and begin producing electricity prior to December 31, 2016, and for solar electric technologies that are not under contract for development prior to August 1, 2015, and begin producing electricity on or after December 31, 2016, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(C) For each qualifying retail utility that is a municipally owned utility, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that are under contract for development prior to August 1, 2015, and begin producing electricity prior to December 31, 2016, and for solar electric technologies that are not under contract for development prior to August 1, 2015, and begin producing electricity on or after December 31, 2016, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.","(C) For each qualifying retail utility that is a municipally owned utility, sub-subparagraph (A) of this subparagraph (VII) applies only to solar electric technologies that are under contract for development prior to August 1, 2015, and begin producing electricity prior to December 31, 2016, and for solar electric technologies that are not under contract for development prior to August 1, 2015, and begin producing electricity on or after December 31, 2016, each kilowatt-hour of renewable electricity shall be counted as one kilowatt-hour for purposes of compliance with the renewable energy standard.",,,,,,,
"(VIII) Electricity from eligible energy resources shall be subject to only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Electricity from eligible energy resources shall be subject to only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Electricity from eligible energy resources shall be subject to only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Electricity from eligible energy resources shall be subject to only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Electricity from eligible energy resources shall be subject to only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Each kilowatt-hour of Electricity from eligible energy resources may take advantage of only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Each kilowatt-hour of Electricity from eligible energy resources may take advantage of only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).","(VIII) Each kilowatt-hour of Electricity from eligible energy resources may take advantage of only one of the methods for counting kilowatt-hours set forth in subparagraphs (III), (VI), and (VII) of this paragraph (c).",,
"(IX) For purposes of stimulating rural economic development and for projects up to thirty megawatts of nameplate capacity that have a point of interconnection rated at sixty-nine kilovolts or less, each kilowatt hour of electricity generated from renewable energy resources that interconnects to electric transmission or distribution facilities owned by a cooperative electric association or municipally owned utility may be counted for the life of the project as two kilowatt hours for compliance with the requirements of this paragraph (c) by qualifying retail utilities. This multiplier shall not be claimed for interconnections that first occur after December 31, 2014, and shall not be used in conjunction with another compliance multiplier. For qualifying retail utilities other than investor-owned utilities, the benefits described in this subparagraph (IX) apply only to the aggregate first one hundred megawatts of nameplate capacity of projects statewide that report having achieved commercial operations to the commission pursuant to the procedure described in this subparagraph (IX). To the extent that a qualifying retail utility claims the benefit described in this subparagraph (IX), those kilowatt-hours of electricity do not qualify for satisfaction of the distributed generation requirement of subparagraph (I) of this paragraph (c). The commission shall analyze the implementation of this subparagraph (IX) and submit a report to the senate local government and energy committee and the house of representatives committee on transportation and energy, or their successor committees, by December 31, 2011, regarding implementation of this subparagraph (IX), including how many megawatts of electricity have been installed or are subject to a power purchase agreement pursuant to this subparagraph (IX) and whether the commission recommends that the multiplier established by this subparagraph (IX) should be changed either in magnitude or expiration date. Any entity that owns or develops a project that will take advantage of the benefits of this subparagraph (IX) shall notify the commission within thirty days after signing a power purchase agreement and within thirty days after beginning commercial operations of an applicable project.","(IX) For purposes of stimulating rural economic development and for projects up to thirty megawatts of nameplate capacity that have a point of interconnection rated at sixty-nine kilovolts or less, each kilowatt hour of electricity generated from renewable energy resources that interconnects to electric transmission or distribution facilities owned by a cooperative electric association or municipally owned utility may be counted for the life of the project as two kilowatt hours for compliance with the requirements of this paragraph (c) by qualifying retail utilities. This multiplier shall not be claimed for interconnections that first occur after December 31, 2014, and shall not be used in conjunction with another compliance multiplier. For qualifying retail utilities other than investor-owned utilities, the benefits described in this subparagraph (IX) apply only to the aggregate first one hundred megawatts of nameplate capacity of projects statewide that report having achieved commercial operations to the commission pursuant to the procedure described in this subparagraph (IX). To the extent that a qualifying retail utility claims the benefit described in this subparagraph (IX), those kilowatt-hours of electricity do not qualify for satisfaction of the distributed generation requirement of subparagraph (I) of this paragraph (c). The commission shall analyze the implementation of this subparagraph (IX) and submit a report to the senate local government and energy committee and the house of representatives committee on transportation and energy, or their successor committees, by December 31, 2011, regarding implementation of this subparagraph (IX), including how many megawatts of electricity have been installed or are subject to a power purchase agreement pursuant to this subparagraph (IX) and whether the commission recommends that the multiplier established by this subparagraph (IX) should be changed either in magnitude or expiration date. Any entity that owns or develops a project that will take advantage of the benefits of this subparagraph (IX) shall notify the commission within thirty days after signing a power purchase agreement and within thirty days after beginning commercial operations of an applicable project.","(IX) For purposes of stimulating rural economic development and for projects up to thirty megawatts of nameplate capacity that have a point of interconnection rated at sixty-nine kilovolts or less, each kilowatt hour of electricity generated from renewable energy resources that interconnects to electric transmission or distribution facilities owned by a cooperative electric association or municipally owned utility may be counted for the life of the project as two kilowatt hours for compliance with the requirements of this paragraph (c) by qualifying retail utilities. This multiplier shall not be claimed for interconnections that first occur after December 31, 2014, and shall not be used in conjunction with another compliance multiplier. For qualifying retail utilities other than investor-owned utilities, the benefits described in this subparagraph (IX) apply only to the aggregate first one hundred megawatts of nameplate capacity of projects statewide that report having achieved commercial operations to the commission pursuant to the procedure described in this subparagraph (IX). To the extent that a qualifying retail utility claims the benefit described in this subparagraph (IX), those kilowatt-hours of electricity do not qualify for satisfaction of the distributed generation requirement of subparagraph (I) of this paragraph (c). The commission shall analyze the implementation of this subparagraph (IX) and submit a report to the senate local government and energy committee and the house of representatives committee on transportation and energy, or their successor committees, by December 31, 2011, regarding implementation of this subparagraph (IX), including how many megawatts of electricity have been installed or are subject to a power purchase agreement pursuant to this subparagraph (IX) and whether the commission recommends that the multiplier established by this subparagraph (IX) should be changed either in magnitude or expiration date. Any entity that owns or develops a project that will take advantage of the benefits of this subparagraph (IX) shall notify the commission within thirty days after signing a power purchase agreement and within thirty days after beginning commercial operations of an applicable project.","(IX) For purposes of stimulating rural economic development and for projects up to thirty megawatts of nameplate capacity that have a point of interconnection rated at sixty-nine kilovolts or less, each kilowatt hour of electricity generated from renewable energy resources that interconnects to electric transmission or distribution facilities owned by a cooperative electric association or municipally owned utility may be counted for the life of the project as two kilowatt hours for compliance with the requirements of this paragraph (c) by qualifying retail utilities. This multiplier shall not be claimed for interconnections that first occur after December 31, 2014, and shall not be used in conjunction with another compliance multiplier. For qualifying retail utilities other than investor-owned utilities, the benefits described in this subparagraph (IX) apply only to the aggregate first one hundred megawatts of nameplate capacity of projects statewide that report having achieved commercial operations to the commission pursuant to the procedure described in this subparagraph (IX). To the extent that a qualifying retail utility claims the benefit described in this subparagraph (IX), those kilowatt-hours of electricity do not qualify for satisfaction of the distributed generation requirement of subparagraph (I) of this paragraph (c). The commission shall analyze the implementation of this subparagraph (IX) and submit a report to the senate local government and energy committee and the house of representatives committee on transportation and energy, or their successor committees, by December 31, 2011, regarding implementation of this subparagraph (IX), including how many megawatts of electricity have been installed or are subject to a power purchase agreement pursuant to this subparagraph (IX) and whether the commission recommends that the multiplier established by this subparagraph (IX) should be changed either in magnitude or expiration date. Any entity that owns or develops a project that will take advantage of the benefits of this subparagraph (IX) shall notify the commission within thirty days after signing a power purchase agreement and within thirty days after beginning commercial operations of an applicable project.","(IX) For purposes of stimulating rural economic development and for projects up to thirty megawatts of nameplate capacity that have a point of interconnection rated at sixty-nine kilovolts or less, each kilowatt hour of electricity generated from renewable energy resources that interconnects to electric transmission or distribution facilities owned by a cooperative electric association or municipally owned utility may be counted for the life of the project as two kilowatt hours for compliance with the requirements of this paragraph (c) by qualifying retail utilities. This multiplier shall not be claimed for interconnections that first occur after December 31, 2014, and shall not be used in conjunction with another compliance multiplier. For qualifying retail utilities other than investor-owned utilities, the benefits described in this subparagraph (IX) apply only to the aggregate first one hundred megawatts of nameplate capacity of projects statewide that report having achieved commercial operations to the commission pursuant to the procedure described in this subparagraph (IX). To the extent that a qualifying retail utility claims the benefit described in this subparagraph (IX), those kilowatt-hours of electricity do not qualify for satisfaction of the distributed generation requirement of subparagraph (I) of this paragraph (c). The commission shall analyze the implementation of this subparagraph (IX) and submit a report to the senate local government and energy committee and the house of representatives committee on transportation and energy, or their successor committees, by December 31, 2011, regarding implementation of this subparagraph (IX), including how many megawatts of electricity have been installed or are subject to a power purchase agreement pursuant to this subparagraph (IX) and whether the commission recommends that the multiplier established by this subparagraph (IX) should be changed either in magnitude or expiration date. Any entity that owns or develops a project that will take advantage of the benefits of this subparagraph (IX) shall notify the commission within thirty days after signing a power purchase agreement and within thirty days after beginning commercial operations of an applicable project.",,,,,
"(X) Of the minimum amounts of electricity required to be generated or caused to be generated by qualifying retail utilities in accordance with subparagraph (V.5) and sub-subparagraph (D) of subparagraph (V) of this paragraph (c), one-tenth, or one percent of total retail electricity sales, must be from distributed generation; except that:","(X) Of the minimum amounts of electricity required to be generated or caused to be generated by qualifying retail utilities in accordance with subparagraph (V.5) and sub-subparagraph (D) of subparagraph (V) of this paragraph (c), one-tenth, or one percent of total retail electricity sales, must be from distributed generation; except that:","(X) Of the minimum amounts of electricity required to be generated or caused to be generated by qualifying retail utilities in accordance with subparagraph (V.5) and sub-subparagraph (D) of subparagraph (V) of this paragraph (c), one-tenth, or one percent of total retail electricity sales, must be from distributed generation; except that:","(X) Of the minimum amounts of electricity required to be generated or caused to be generated by qualifying retail utilities in accordance with subparagraph (V.5) and sub-subparagraph (D) of subparagraph (V) of this paragraph (c), one-tenth, or one percent of total retail electricity sales, must be from distributed generation; except that:",,,,,,
"(A) For a cooperative electric association that is a qualifying retail utility and that provides service to fewer than ten thousand meters, the distributed generation component may be three-quarters of one percent of total retail electricity sales; and","(A) For a cooperative electric association that is a qualifying retail utility and that provides service to fewer than ten thousand meters, the distributed generation component may be three-quarters of one percent of total retail electricity sales; and","(A) For a cooperative electric association that is a qualifying retail utility and that provides service to fewer than ten thousand meters, the distributed generation component may be three-quarters of one percent of total retail electricity sales; and","(A) For a cooperative electric association that is a qualifying retail utility and that provides service to fewer than ten thousand meters, the distributed generation component may be three-quarters of one percent of total retail electricity sales; and",,,,,,
(B) This subparagraph (X) does not apply to a qualifying retail utility that is a municipal utility.,(B) This subparagraph (X) does not apply to a qualifying retail utility that is a municipal utility.,(B) This subparagraph (X) does not apply to a qualifying retail utility that is a municipal utility.,(B) This subparagraph (X) does not apply to a qualifying retail utility that is a municipal utility.,,,,,,
(d),(d),(d),(d),(d),(d),(d),(d),(d),(d)
(I),(I),(I),(I),(I),(I),(I),(I),(I),(I)
"(A) ?Subject to rules promulgated pursuant to subsection (1)(d)(II) of this section, a system of tradable renewable energy credits that a qualifying retail utility may use to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article 2.",a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.,a system of tradable renewable energy credits that may be used by a qualifying retail utility to comply with this standard. The commission shall also analyze the effectiveness of utilizing any regional system of renewable energy credits in existence at the time of its rule-making process and determine whether the system is governed by rules that are consistent with the rules established for this article.
"(B) The commission shall not restrict the qualifying retail utility’s ownership or purchase of renewable energy if: The qualifying retail utility complies with the electric resource standard of subsection (1)(c) of this section and the conditions of any rate recovery mechanism adopted pursuant to subsection (1)(f)(IV) of this section; the qualifying retail utility uses definitions of eligible energy resources that are limited to those identified in subsection (1)(a) of this section, as clarified by the commission, and does not exceed the retail rate impact established by subsection (1)(g) of this section; and the commission finds that the resources are prudently acquired at a reasonable cost and rate impact.","The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1), uses definitions of eligible energy resources that are limited to those identified in paragraph (a) of this subsection (1), as clarified by the commission, and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).","The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1), uses definitions of eligible energy resources that are limited to those identified in paragraph (a) of this subsection (1), as clarified by the commission, and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).","The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1), uses definitions of eligible energy resources that are limited to those identified in paragraph (a) of this subsection (1), as clarified by the commission, and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).","The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1), uses definitions of eligible energy resources that are limited to those identified in paragraph (a) of this subsection (1), as clarified by the commission, and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).",The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1) and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).,The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1) and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).,The commission shall not restrict the qualifying retail utility’s ownership of renewable energy credit if The qualifying retail utility complies with the electric resource standard of paragraph (c) of this subsection (1) and does not exceed the retail rate impact established by paragraph (g) of this subsection (1).,,
"(C) Once a qualifying retail utility either receives a permit pursuant to article 7 or 8 of title 25 for a generation facility that relies on or is affected by the definitions of eligible energy resources or enters into a contract that relies on or is affected by the definitions of eligible energy resources, the definitions apply to the contract or facility notwithstanding any subsequent alteration of the definitions, whether by statute or rule.","Once a qualifying retail utility either receives a permit pursuant to article 7 or 8 of title 25 C.R.S., for a generation facility that relies on or is affected by the definitions of eligible energy resources or enters into a contract that relies on or is affected by the definitions of eligible energy resources, such definitions apply to the contract or facility notwithstanding any subsequent alteration of the definitions, whether by statute or rule.","Once a qualifying retail utility either receives a permit pursuant to article 7 or 8 of title 25 C.R.S., for a generation facility that relies on or is affected by the definitions of eligible energy resources or enters into a contract that relies on or is affected by the definitions of eligible energy resources, such definitions apply to the contract or facility notwithstanding any subsequent alteration of the definitions, whether by statute or rule.","Once a qualifying retail utility either receives a permit pursuant to article 7 or 8 of title 25 C.R.S., for a generation facility that relies on or is affected by the definitions of eligible energy resources or enters into a contract that relies on or is affected by the definitions of eligible energy resources, such definitions apply to the contract or facility notwithstanding any subsequent alteration of the definitions, whether by statute or rule.","Once a qualifying retail utility either receives a permit pursuant to article 7 or 8 of title 25 C.R.S., for a generation facility that relies on or is affected by the definitions of eligible energy resources or enters into a contract that relies on or is affected by the definitions of eligible energy resources, such definitions apply to the contract or facility notwithstanding any subsequent alteration of the definitions, whether by statute or rule.",,,,,
"(D) For purposes of compliance with the renewable energy standard, if a generation system uses a combination of fossil fuel and eligible renewable energy resources to generate electricity, a qualifying retail utility that is not an investor-owned utility may count as eligible renewable energy only the proportion of the total electric output of the generation system that results from the use of eligible renewable energy resources.","For purposes of compliance with the renewable energy standard, if a generation system uses a combination of fossil fuel and eligible renewable energy resources to generate electricity, a qualifying retail utility that is not an investor-owned utility may count as eligible renewable energy only the proportion of the total electric output of the generation system that results from the use of eligible renewable energy resources.","For purposes of compliance with the renewable energy standard, if a generation system uses a combination of fossil fuel and eligible renewable energy resources to generate electricity, a qualifying retail utility that is not an investor-owned utility may count as eligible renewable energy only the proportion of the total electric output of the generation system that results from the use of eligible renewable energy resources.","For purposes of compliance with the renewable energy standard, if a generation system uses a combination of fossil fuel and eligible renewable energy resources to generate electricity, a qualifying retail utility that is not an investor-owned utility may count as eligible renewable energy only the proportion of the total electric output of the generation system that results from the use of eligible renewable energy resources.","For purposes of compliance with the renewable energy standard, if a generation system uses a combination of fossil fuel and eligible renewable energy resources to generate electricity, a qualifying retail utility that is not an investor-owned utility may count as eligible renewable energy only the proportion of the total electric output of the generation system that results from the use of eligible renewable energy resources.",,,,,
(II) The system of tradable renewable energy credits must include requirements for the retirement of renewable energy credits to ensure that compliance with the renewable energy standard:,,,,,,,,,
"(A) Is effectuated in a manner that benefits Colorado’s cities, counties, and businesses;",,,,,,,,,
(B) Enables a utility’s customers to account for the environmental benefits of the renewable energy generated to serve those customers and purchased for those customers; and,,,,,,,,,
(C) Is consistent with timely attainment of the state’s clean energy and climate goals.,,,,,,,,,
"(e) A requirement that each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, make available to their customers a standard rebate offer and net metering service, under which:","(e) A standard rebate offer program, under which:","(e) A standard rebate offer program, under which:","(e) A standard rebate offer program, under which:","(e) A standard rebate offer program, under which:","(e) A standard rebate offer program, under which:",(e) A standard rebate offer program:,(e) A standard rebate offer program:,(e) A standard rebate offer program:,(e) A standard rebate offer program:
(I),(I),(I),(I),(I),(I),,,,
"(A) Customers are offered a specified amount per watt for the installation of eligible solar electric generation on the customers’ premises, up to a maximum of one hundred kilowatts per installation.","(A) Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a specified amount per watt for the installation of eligible solar electric generation on customers’ premises, up to a maximum of one hundred kilowatts per installation.","(A) Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a specified amount per watt for the installation of eligible solar electric generation on customers’ premises, up to a maximum of one hundred kilowatts per installation.","(A) Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a specified amount per watt for the installation of eligible solar electric generation on customers’ premises, up to a maximum of one hundred kilowatts per installation.","(A) Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a specified amount per watt for the installation of eligible solar electric generation on customers’ premises, up to a maximum of one hundred kilowatts per installation.","(A) Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a minimum of two dollars per watt for the installation of eligible solar electric generation on customers' premises up to a maximum of one hundred kilowatts per installation.","Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a minimum of two dollars per watt for the installation of eligible solar electric generation on customers' premises up to a maximum of one hundred kilowatts per installation.","Each qualifying retail utility, except for cooperative electric associations and municipally owned utilities, shall make available to its retail electricity customers a standard rebate offer of a minimum of two dollars per watt for the installation of eligible solar electric generation on customers' premises up to a maximum of one hundred kilowatts per installation.",Each qualifying retail utility shall make available to its retail electricity customers a standard rebate offer of a minimum of two dollars per watt for the installation of eligible solar electric generation on customers' premises up to a maximum of one hundred kilowatts per installation.,Each qualifying retail utility shall make available to its retail electricity customers a standard rebate offer of a minimum of two dollars per watt for the installation of eligible solar electric generation on customers' premises up to a maximum of one hundred kilowatts per installation.
