ID," P.A. 102-662, § 90-50, eff. Sept. 15, 2021."," P.A. 99-906, § 15, eff. June 1, 2017;","P.A. 97-824, § 5, eff. July 18, 2012;","P.A. 97-646, § 5, eff. Dec. 30, 2011","P.A. 97-616, § 10, eff. Oct. 26, 2011","P.A. 95-420, § 5, eff. Aug. 24, 2007",,,,,,,,,,,,,,,,,,
26,"(h–5) Within 90 days after the effective date of this amendatory Act of the 102nd General Assembly, the Commission shall:",,,,,,,,,,,,,,,,,,,,,,,
27,"(1) establish an Interconnection Working Group. The working group shall include representatives from electric utilities, developers of renewable electric generating facilities, other industries that regularly apply for interconnection with the electric utilities, representatives of distributed generation customers, the Commission Staff, and such other stakeholders with a substantial interest in the topics addressed by the Interconnection Working Group. The Interconnection Working Group shall address at least the following issues:",,,,,,,,,,,,,,,,,,,,,,,
28,"(A) cost and best available technology for interconnection and metering, including the standardization and publication of standard costs;",,,,,,,,,,,,,,,,,,,,,,,
29,"(B) transparency, accuracy and use of the distribution interconnection queue and hosting capacity maps;",,,,,,,,,,,,,,,,,,,,,,,
30,(C) distribution system upgrade cost avoidance through use of advanced inverter functions;,,,,,,,,,,,,,,,,,,,,,,,
31,(D) predictability of the queue management process and enforcement of timelines;,,,,,,,,,,,,,,,,,,,,,,,
32,(E) benefits and challenges associated with group studies and cost sharing;,,,,,,,,,,,,,,,,,,,,,,,
33,(F) minimum requirements for application to the interconnection process and throughout the interconnection process to avoid queue clogging behavior;,,,,,,,,,,,,,,,,,,,,,,,
34,"(G) process and customer service for interconnecting customers adopting distributed energy resources, including energy storage;",,,,,,,,,,,,,,,,,,,,,,,
35,"(H) options for metering distributed energy resources, including energy storage;",,,,,,,,,,,,,,,,,,,,,,,
36,"(I) interconnection of new technologies, including smart inverters and energy storage;",,,,,,,,,,,,,,,,,,,,,,,
37,"(J) collect, share, and examine data on Level 1 interconnection costs, including cost and type of upgrades required for interconnection, and use this data to inform the final standardized cost of Level 1 interconnection; and",,,,,,,,,,,,,,,,,,,,,,,
38,"(K) such other technical, policy, and tariff issues related to and affecting interconnection performance and customer service as determined by the Interconnection Working Group.",,,,,,,,,,,,,,,,,,,,,,,
39,"The Commission may create subcommittees of the Interconnection Working Group to focus on specific issues of importance, as appropriate. The Interconnection Working Group shall report to the Commission on recommended improvements to interconnection rules and tariffs and policies as determined by the Interconnection Working Group at least every 6 months. Such reports shall include consensus recommendations of the Interconnection Working Group and, if applicable, additional recommendations for which consensus was not reached. The Commission shall use the report from the Interconnection Working Group to determine whether processes should be commenced to formally codify or implement the recommendations;",,,,,,,,,,,,,,,,,,,,,,,
40,(2) create or contract for an Ombudsman to resolve interconnection disputes through non-binding arbitration. The Ombudsman may be paid in full or in part through fees levied on the initiators of the dispute; and,,,,,,,,,,,,,,,,,,,,,,,
41,"(3) determine a single standardized cost for Level 1 interconnections, which shall not exceed $200.",,,,,,,,,,,,,,,,,,,,,,,
42,"(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.","(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.","(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.","(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.","(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.","(i) All electricity providers shall begin to offer net metering no later than April 1, 2008.",,,,,,,,,,,,,,,,,,
43,"(j) An electricity provider shall provide net metering to eligible customers according to subsections (d), (d–5), and (e). Eligible renewable electrical generating facilities for which eligible customers registered for net metering before January 1, 2025 shall continue to receive net metering services according to subsections (d), (d–5), and (e) of this Section for the lifetime of the system, regardless of whether those retail customers change electricity providers or whether the retail customer benefiting from the system changes. On and after January 1, 2025, any eligible customer that applies for net metering and previously would have qualified under subsections (d), (d–5), or (e) shall only be eligible for net metering as described in subsection (n). ","(j) An electricity provider shall provide net metering to eligible customers until the load of its net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year. After such time as the load of the electricity provider's net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year, eligible customers that begin taking net metering shall only be eligible for netting of energy. ",(j) An electricity provider shall provide net metering to eligible customers until the load of its net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year. Electricity providers are authorized to offer net metering beyond the 5% level if they so choose. ,(j) An electricity provider shall provide net metering to eligible customers until the load of its net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year. Electricity providers are authorized to offer net metering beyond the 5% level if they so choose. ,(j) An electricity provider shall provide net metering to eligible customers until the load of its net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year. Electricity providers are authorized to offer net metering beyond the 5% level if they so choose. ,"(j) An electricity provider shall provide net metering to eligible customers until the load of its net metering customers equals 1% of the total peak demand supplied by that electricity provider during the previous year. Electricity providers are authorized to offer net metering beyond the 1% level if they so choose. The number of new eligible customers with generators that have a nameplate rating of 40 kilowatts and below will be limited to 200 total new billing accounts for the utilities (Ameren Companies, ComEd, and MidAmerican) for the period of April 1, 2008 through March 31, 2009.",,,,,,,,,,,,,,,,,,
44,"(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. ","(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. ","(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. Each electricity provider shall notify the Commission when the total generating capacity of its net metering customers is equal to or in excess of the 5% cap specified in subsection (j) of this Section.","(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. Each electricity provider shall notify the Commission when the total generating capacity of its net metering customers is equal to or in excess of the 5% cap specified in subsection (j) of this Section.","(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. Each electricity provider shall notify the Commission when the total generating capacity of its net metering customers is equal to or in excess of the 5% cap specified in subsection (j) of this Section.","(k) Each electricity provider shall maintain records and report annually to the Commission the total number of net metering customers served by the provider, as well as the type, capacity, and energy sources of the generating systems used by the net metering customers. Nothing in this Section shall limit the ability of an electricity provider to request the redaction of information deemed by the Commission to be confidential business information. Each electricity provider shall notify the Commission when the total generating capacity of its net metering customers is equal to or in excess of the 1% cap specified in subsection (j) of this Section.",,,,,,,,,,,,,,,,,,
45,"(l)(1) Notwithstanding the definition of “eligible customer” in item (ii) of subsection (b) of this Section, each electricity provider shall allow the purposes of net metering as set forth in this subsection (l) and for the following projects, provided that only electric utilities serving more than 200,000 customers as of January 1, 2021 shall provide net metering for projects that are eligible for subparagraph (C) of this paragraph (1) and have energized after the effective date of this amendatory Act of the 102nd General Assembly:","(l)(1) Notwithstanding the definition of “eligible customer” in item (ii) of subsection (b) of this Section, each electricity provider shall allow the purposes of net metering as set forth in this subsection (l) and for the following projects:","(l) Notwithstanding the definition of “eligible customer” in item (i) of subsection (b) of this Section, each electricity provider shall consider whether to allow meter aggregation for the purposes of net metering on:","(l) Notwithstanding the definition of “eligible customer” in item (i) of subsection (b) of this Section, each electricity provider shall consider whether to allow meter aggregation for the purposes of net metering on:","(l) Notwithstanding the definition of “eligible customer” in item (i) of subsection (b) of this Section, each electricity provider shall consider whether to allow meter aggregation for the purposes of net metering on:","(l) Notwithstanding the definition of “eligible customer” in item (i) of subsection (b) of this Section, each electricity provider shall consider whether to allow meter aggregation for the purposes of net metering on:",,,,,,,,,,,,,,,,,,
46,"(A) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility through an ownership or leasehold interest of at least 200 watts in such facility, such as a community-owned wind project, a community-owned biomass project, a community-owned solar project,  or a community methane digester processing livestock waste from multiple sources, provided that the facility is also located within the utility's service territory; ","(A) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility through an ownership or leasehold interest of at least 200 watts in such facility, such as a community-owned wind project, a community-owned biomass project, a community-owned solar project,  or a community methane digester processing livestock waste from multiple sources, provided that the facility is also located within the utility's service territory; ","(1) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility, such as a community-owned wind project, a community-owned biomass project, a community-owned solar project,  or a community methane digester processing livestock waste from multiple sources; and","(1) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility, such as a community-owned wind project, a community-owned biomass project, a community-owned solar project,  or a community methane digester processing livestock waste from multiple sources; and","(1) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility, such as a community-owned wind project, a community-owned biomass project, a community-owned solar project,  or a community methane digester processing livestock waste from multiple sources; and","(1) properties owned or leased by multiple customers that contribute to the operation of an eligible renewable electrical generating facility, such as a community-owned wind project or a community methane digester processing livestock waste from multiple sources; and",,,,,,,,,,,,,,,,,,
47,"(B) individual units, apartments, or properties located in a single building that are owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an office or  apartment building, a shopping center or strip mall  served by photovoltaic panels on the roof.; and","(B) individual units, apartments, or properties located in a single building that are owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an office or  apartment building, a shopping center or strip mall  served by photovoltaic panels on the roof.; and","(2) individual units, apartments, or properties owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an apartment building served by photovoltaic panels on the roof.","(2) individual units, apartments, or properties owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an apartment building served by photovoltaic panels on the roof.","(2) individual units, apartments, or properties owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an apartment building served by photovoltaic panels on the roof.","(2) individual units, apartments, or properties owned or leased by multiple customers and collectively served by a common eligible renewable electrical generating facility, such as an apartment building served by photovoltaic panels on the roof.",,,,,,,,,,,,,,,,,,
48,"(C) subscriptions to community renewable generation projects, including community renewable generation projects on the customer's side of the billing meter of a host facility and partially used for the customer's own load.",(C) subscriptions to community renewable generation projects.,,,,,,,,,,,,,,,,,,,,,,
49,"In addition, the nameplate capacity of the eligible renewable electric generating facility that serves the demand of the properties, units, or apartments identified in paragraphs (1) and (2) of this subsection (l) shall not exceed 5,000 kilowatts in nameplate capacity in total. Any eligible renewable electrical generating facility or community renewable generation project that is powered by photovoltaic electric energy and installed after the effective date of this amendatory Act of the 99th General Assembly must be installed by a qualified person in compliance with the requirements of Section 16–128A of the Public Utilities Act and any rules or regulations adopted thereunder.","In addition, the nameplate capacity of the eligible renewable electric generating facility that serves the demand of the properties, units, or apartments identified in paragraphs (1) and (2) of this subsection (l) shall not exceed 2,000 kilowatts in nameplate capacity in total. Any eligible renewable electrical generating facility or community renewable generation project that is powered by photovoltaic electric energy and installed after the effective date of this amendatory Act of the 99th General Assembly must be installed by a qualified person in compliance with the requirements of Section 16–128A of the Public Utilities Act and any rules or regulations adopted thereunder.",,,,,,,,,,,,,,,,,,,,,,
50,"(2) Notwithstanding anything to the contrary, an electricity provider shall provide credits for the electricity produced by the projects described in paragraph (1) of this subsection (l). The electricity provider shall provide credits that include at least energy supply, capacity, transmission, and, if applicable, the purchased energy adjustment  on the subscriber's monthly bill equal to the subscriber's share of the production of electricity from the project, as determined by paragraph (3) of this subsection (l). For customers with transmission or capacity charges not charged on a kilowatt-hour basis, the electricity provider shall prepare a reasonable approximation of the kilowatt-hour equivalent value and provide that value as a monetary credit. The electricity provider shall submit these approximation methodologies to the Commission for review, modification, and approval. Notwithstanding anything to the contrary, customers on payment plans or participating in budget billing programs shall have credits applied on a monthly basis.","(2) Notwithstanding anything to the contrary, an electricity provider shall provide credits for the electricity produced by the projects described in paragraph (1) of this subsection (l). The electricity provider shall provide credits at the subscriber's energy supply rate on the subscriber's monthly bill equal to the subscriber's share of the production of electricity from the project, as determined by paragraph (3) of this subsection (l).",,,,,,,,,,,,,,,,,,,,,,
51,"(3) Notwithstanding anything to the contrary and regardless of whether a subscriber to an eligible community renewable generation project receives power and energy service from the electric utility or an alternative retail electric supplier, for projects eligible under paragraph (C) of subparagraph (1) of this subsection (l), electric utilities serving more than 200,000 customers as of January 1, 2021 shall provide the monetary credits to a subscriber's subsequent bill for the electricity produced by community renewable generation projects. The electric utility shall provide monetary credits to a subscriber's subsequent bill at the utility's total price to compare equal to the subscriber's share of the production of electricity from the project, as determined by paragraph (5) of this subsection (l). For the purposes of this subsection, “total price to compare” means the rate or rates published by the Illinois Commerce Commission for energy supply for eligible customers receiving supply service from the electric utility, and shall include energy, capacity, transmission, and the purchased energy adjustment. Notwithstanding anything to the contrary, customers on payment plans or participating in budget billing programs shall have credits applied on a monthly basis. Any applicable credit or reduction in load obligation from the production of the community renewable generating projects receiving a credit under this subsection shall be credited to the electric utility to offset the cost of providing the credit. To the extent that the credit or load obligation reduction does not completely offset the cost of providing the credit to subscribers of community renewable generation projects as described in this subsection, the electric utility may recover the remaining costs through its Multi–Year Rate Plan. All electric utilities serving 200,000 or fewer customers as of January 1, 2021 shall only provide the monetary credits to a subscriber's subsequent bill for the electricity produced by community renewable generation projects if the subscriber receives power and energy service from the electric utility. Alternative retail electric suppliers providing power and energy service to a subscriber located within the service territory of an electric utility not subject to Sections 16–108.18 and 16–118 shall provide the monetary credits to the subscriber's subsequent bill for the electricity produced by community renewable generation projects.",,,,,,,,,,,,,,,,,,,,,,,
52,"(4) If requested by the owner or operator of a community renewable generating project, an electric utility serving more than 200,000 customers as of January 1, 2021 shall enter into a net crediting agreement with the owner or operator to include a subscriber's subscription fee on the subscriber's monthly electric bill and provide the subscriber with a net credit equivalent to the total bill credit value for that generation period minus the subscription fee, provided the subscription fee is structured as a fixed percentage of bill credit value. The net crediting agreement shall set forth payment terms from the electric utility to the owner or operator of the community renewable generating project, and the electric utility may charge a net crediting fee to the owner or operator of a community renewable generating project that may not exceed 2% of the bill credit value. Notwithstanding anything to the contrary, an electric utility serving 200,000 customers or fewer as of January 1, 2021 shall not be obligated to enter into a net crediting agreement with the owner or operator of a community renewable generating project.",,,,,,,,,,,,,,,,,,,,,,,
53,"(5) For the purposes facilitating net metering, the owner or operator of the eligible renewable electrical generating facility or community renewable generation project shall be responsible for determining the amount of the credit that each customer or subscriber participating in a project under this subsection (l) is to receive in the following manner:","(3) For the purposes facilitating net metering, the owner or operator of the eligible renewable electrical generating facility or community renewable generation project shall be responsible for determining the amount of the credit that each customer or subscriber participating in a project under this subsection (l) is to receive in the following manner:","For the purposes of this subsection (l), “meter aggregation” means the combination of reading and billing on a pro rata basis for the types of eligible customers described in this Section.","For the purposes of this subsection (l), “meter aggregation” means the combination of reading and billing on a pro rata basis for the types of eligible customers described in this Section.","For the purposes of this subsection (l), “meter aggregation” means the combination of reading and billing on a pro rata basis for the types of eligible customers described in this Section.","For the purposes of this subsection (l), “meter aggregation” means the combination of reading and billing on a pro rata basis for the types of eligible customers described in this Section.",,,,,,,,,,,,,,,,,,
54,"(A) The owner or operator shall, on a monthly basis, provide to the electric utility the kilowatthours of generation attributable to each of the utility's retail customers and subscribers participating in projects under this subsection (l) in accordance with the customer's or subscriber's share of the eligible renewable electric generating facility's or community renewable generation project's output of power and energy for such month. The owner or operator shall electronically transmit such calculations and associated documentation to the electric utility, in a format or method set forth in the applicable tariff, on a monthly basis so that the electric utility can reflect the monetary credits on customers' and subscribers' electric utility bills. The electric utility shall be permitted to revise its tariffs to implement the provisions of this amendatory Act of the 102nd General Assembly. The owner or operator shall separately provide the electric utility with the documentation detailing the calculations supporting the credit in the manner set forth in the applicable tariff.","(A) The owner or operator shall, on a monthly basis, provide to the electric utility the kilowatthours of generation attributable to each of the utility's retail customers and subscribers participating in projects under this subsection (l) in accordance with the customer's or subscriber's share of the eligible renewable electric generating facility's or community renewable generation project's output of power and energy for such month. The owner or operator shall electronically transmit such calculations and associated documentation to the electric utility, in a format or method set forth in the applicable tariff, on a monthly basis so that the electric utility can reflect the monetary credits on customers' and subscribers' electric utility bills. The electric utility shall be permitted to revise its tariffs to implement the provisions of this amendatory Act of the 99th General Assembly. The owner or operator shall separately provide the electric utility with the documentation detailing the calculations supporting the credit in the manner set forth in the applicable tariff.",,,,,,,,,,,,,,,,,,,,,,
55,"(B) For those participating customers and subscribers who receive their energy supply from an alternative retail electric supplier, the electric utility shall remit to the applicable alternative retail electric supplier the information provided under subparagraph (A) of this paragraph (3) for such customers and subscribers in a manner set forth in such alternative retail electric supplier's net metering program, or as otherwise agreed between the utility and the alternative retail electric supplier. The alternative retail electric supplier shall then submit to the utility the amount of the charges for power and energy to be applied to such customers and subscribers, including the amount of the credit associated with net metering.","(B) For those participating customers and subscribers who receive their energy supply from an alternative retail electric supplier, the electric utility shall remit to the applicable alternative retail electric supplier the information provided under subparagraph (A) of this paragraph (3) for such customers and subscribers in a manner set forth in such alternative retail electric supplier's net metering program, or as otherwise agreed between the utility and the alternative retail electric supplier. The alternative retail electric supplier shall then submit to the utility the amount of the charges for power and energy to be applied to such customers and subscribers, including the amount of the credit associated with net metering.",,,,,,,,,,,,,,,,,,,,,,
56,"(C) A participating customer or subscriber may provide authorization as required by applicable law that directs the electric utility to submit information to the owner or operator of the eligible renewable electrical generating facility or community renewable generation project to which the customer or subscriber has an ownership or leasehold interest or a subscription. Such information shall be limited to the components of the net metering credit calculated under this subsection (l), including the bill credit rate, total kilowatthours, and total monetary credit value applied to the customer's or subscriber's bill for the monthly billing period.","(C) A participating customer or subscriber may provide authorization as required by applicable law that directs the electric utility to submit information to the owner or operator of the eligible renewable electrical generating facility or community renewable generation project to which the customer or subscriber has an ownership or leasehold interest or a subscription. Such information shall be limited to the components of the net metering credit calculated under this subsection (l), including the bill credit rate, total kilowatthours, and total monetary credit value applied to the customer's or subscriber's bill for the monthly billing period.",,,,,,,,,,,,,,,,,,,,,,
57,"(l–5) Within 90 days after the effective date of this amendatory Act of the 102nd General Assembly, each electric utility subject to this Section shall file a tariff or tariffs to implement the provisions of subsection (l) of this Section, which shall, consistent with the provisions of subsection (l), describe the terms and conditions under which owners or operators of qualifying properties, units, or apartments may participate in net metering. The Commission shall approve, or approve with modification, the tariff within 120 days after the effective date of this amendatory Act of the 102nd General Assembly.","(l–5) Within 90 days after the effective date of this amendatory Act of the 99th General Assembly, each electric utility subject to this Section shall file a tariff to implement the provisions of subsection (l) of this Section, which shall, consistent with the provisions of subsection (l), describe the terms and conditions under which owners or operators of qualifying properties, units, or apartments may participate in net metering. The Commission shall approve, or approve with modification, the tariff within 120 days after the effective date of this amendatory Act of the 99th General Assembly.",,,,,,,,,,,,,,,,,,,,,,
58,"(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.","(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.","(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.","(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.","(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.","(m) Nothing in this Section shall affect the right of an electricity provider to continue to provide, or the right of a retail customer to continue to receive service pursuant to a contract for electric service between the electricity provider and the retail customer in accordance with the prices, terms, and conditions provided for in that contract. Either the electricity provider or the customer may require compliance with the prices, terms, and conditions of the contract.",,,,,,,,,,,,,,,,,,
59,"(n)On and after January 1, 2025 the net metering services described in subsections (d), (d–5), and of this Section shall no longer be offered, except as to those eligible renewable electrical generating facilities for which retail customers are receiving net metering service under these subsections at the time the net metering services under those subsections are no longer offered; those systems shall continue to receive net metering services described in subsections (d), (d–5), and (e) of this Section for the lifetime of the system, regardless of if those retail customers change electricity providers or whether the retail customer benefiting from the system changes. The electric utility serving more than 200,000 customers as of January 1, 2021 is responsible for ensuring the billing credits continue without lapse for the lifetime of systems, as required in subsection (o). Those retail customers that begin taking net metering service after the date that net metering services are no longer offered under such subsections shall be subject to the provisions set forth in the following paragraphs (1) through (3) of this subsection (n):","(n) At such time, if any, that the load of the electricity provider's net metering customers equals 5% of the total peak demand supplied by that electricity provider during the previous year, as specified in subsection (j) of this Section, the net metering services described in subsections (d), (d–5), (e), (e–5), and (f) of this Section shall no longer be offered, except as to those retail customers that are receiving net metering service under these subsections at the time the net metering services under those subsections are no longer offered. Those retail customers that begin taking net metering service after the date that net metering services are no longer offered under such subsections shall be subject to the provisions set forth in the following paragraphs (1) through (3) of this subsection (n):",,,,,,,,,,,,,,,,,,,,,,
60,(1) An electricity provider shall charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric supply service is not provided based on hourly pricing in the following manner:,(1) An electricity provider shall charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric supply service is not provided based on hourly pricing in the following manner:,,,,,,,,,,,,,,,,,,,,,,
61,"(A) If the amount of electricity used by the customer during the monthly billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net kilowatt-hour based electricity charges reflected in the customer's electric service rate supplied to and used by the customer as provided in paragraph (3) of this subsection (n).","(A) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net kilowatt-hour based electricity charges reflected in the customer's electric service rate supplied to and used by the customer as provided in paragraph (3) of this subsection (n).",,,,,,,,,,,,,,,,,,,,,,
62,"(B) If the amount of electricity produced by a customer during the monthly billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour energy or monetary credit kilowatt-hour supply charges to the customer's subsequent bill. The customer shall choose between 1:1 kilowatt-hour or monetary credit at the time of application. For the purposes of this subsection, “kilowatt-hour supply charges” means the kilowatt-hour equivalent values for energy, capacity, transmission, and the purchased energy adjustment, if applicable. Notwithstanding anything to the contrary, customers on payment plans or participating in budget billing programs shall have credits applied on a monthly basis. The electricity provider shall continue to carry over any excess kilowatt-hour or monetary energy credits earned and apply those credits to subsequent billing periods. For customers with transmission or capacity charges not charged on a kilowatt-hour basis, the electricity provider shall prepare a reasonable approximation of the kilowatt-hour equivalent value and provide that value as a monetary credit. The electricity provider shall submit these approximation methodologies to the Commission for review, modification, and approval.  ","(B) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, then the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour energy credit that reflects the kilowatt-hour based energy charges in the customer's electric service rate to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour energy credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.",,,,,,,,,,,,,,,,,,,,,,
63,,"(C) At the end of the year or annualized over the period that service is supplied by means of net metering, or in the event that the retail customer terminates service with the electricity provider prior to the end of the year or the annualized period, any remaining credits in the customer's account shall expire.",,,,,,,,,,,,,,,,,,,,,,
64,(2) An electricity provider shall charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric supply service is provided based on hourly pricing in the following manner:,(2) An electricity provider shall charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric supply service is provided based on hourly pricing in the following manner:,,,,,,,,,,,,,,,,,,,,,,
65,"(A) If the amount of electricity used by the customer during any hourly period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in paragraph (3) of this subsection (n).","(A) If the amount of electricity used by the customer during any hourly period exceeds the amount of electricity produced by the customer, then the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in paragraph (3) of this subsection (n).",,,,,,,,,,,,,,,,,,,,,,
66,"(B) If the amount of electricity produced by a customer during any hourly period exceeds the amount of electricity used by the customer during that hourly period, the energy provider shall calculate an energy credit for the net kilowatt-hours produced in such period, and shall apply that credit as a monetary credit to the customer's subsequent bill. The value of the energy credit shall be calculated using the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period  and shall also include values for capacity and transmission. For customers with transmission or capacity charges not charged on a kilowatt-hour basis, the electricity provider shall prepare a reasonable approximation of the kilowatt-hour equivalent value and provide that value as a monetary credit. The electricity provider shall submit these approximation methodologies to the Commission for review, modification, and approval. Notwithstanding anything to the contrary, customers on payment plans or participating in budget billing programs shall have credits applied on a monthly basis.","(B) If the amount of electricity produced by a customer during any hourly period exceeds the amount of electricity used by the customer during that hourly period, the energy provider shall calculate an energy credit for the net kilowatt-hours produced in such period. The value of the energy credit shall be calculated using the same price per kilowatt-hour as the electric service provider would charge for kilowatt-hour energy sales during that same hourly period.",,,,,,,,,,,,,,,,,,,,,,
